method,seed,after_task,probe_task,stage,n,dim,PR,eRank,nRank,probe_acc
paretocl_res_log,4,0,0,acc,512,,,,,52.1484375
paretocl_res_log,4,0,-2,acc_allavg,,,,,,52.1484375
paretocl_res_log,4,0,0,stage1,512,64,3.382822275161743,5.111624240875244,0.07986912876367569,52.1484375
paretocl_res_log,4,0,0,stage2,512,128,3.0556883811950684,5.152106761932373,0.040250834077596664,52.1484375
paretocl_res_log,4,0,0,stage3,512,256,3.5976147651672363,8.08680534362793,0.0315890833735466,52.1484375
paretocl_res_log,4,0,0,stage4,512,512,2.1519718170166016,5.239196300506592,0.010232805274426937,52.1484375
paretocl_res_log,4,1,0,acc,512,,,,,32.421875
paretocl_res_log,4,1,1,acc,512,,,,,53.90625
paretocl_res_log,4,1,-1,acc_oldavg,,,,,,32.421875
paretocl_res_log,4,1,-2,acc_allavg,,,,,,43.1640625
paretocl_res_log,4,1,0,stage1,512,64,3.720301866531372,5.806136608123779,0.09072088450193405,32.421875
paretocl_res_log,4,1,0,stage2,512,128,5.399758338928223,9.632875442504883,0.0752568393945694,32.421875
paretocl_res_log,4,1,0,stage3,512,256,6.6891188621521,16.48810577392578,0.06440666317939758,32.421875
paretocl_res_log,4,1,0,stage4,512,512,2.874579429626465,4.7165751457214355,0.009212060831487179,32.421875
paretocl_res_log,4,1,1,stage1,512,64,4.04398250579834,6.492959976196289,0.10145249962806702,53.90625
paretocl_res_log,4,1,1,stage2,512,128,4.0904388427734375,8.021626472473145,0.06266895681619644,53.90625
paretocl_res_log,4,1,1,stage3,512,256,6.058150768280029,15.127119064331055,0.05909030884504318,53.90625
paretocl_res_log,4,1,1,stage4,512,512,2.1293482780456543,3.5166854858398438,0.006868526339530945,53.90625
paretocl_res_log,4,2,0,acc,512,,,,,5.2734375
paretocl_res_log,4,2,1,acc,512,,,,,3.7109375
paretocl_res_log,4,2,2,acc,512,,,,,53.90625
paretocl_res_log,4,2,-1,acc_oldavg,,,,,,4.4921875
paretocl_res_log,4,2,-2,acc_allavg,,,,,,20.963541666666668
paretocl_res_log,4,2,0,stage1,512,64,3.701714515686035,6.09086799621582,0.09516981244087219,5.2734375
paretocl_res_log,4,2,0,stage2,512,128,4.472242832183838,8.841404914855957,0.06907347589731216,5.2734375
paretocl_res_log,4,2,0,stage3,512,256,6.719638824462891,14.924859046936035,0.05830023065209389,5.2734375
paretocl_res_log,4,2,0,stage4,512,512,3.834869861602783,5.768385887145996,0.011266378685832024,5.2734375
paretocl_res_log,4,2,1,stage1,512,64,4.195119857788086,6.8250226974487305,0.10664097964763641,3.7109375
paretocl_res_log,4,2,1,stage2,512,128,5.951903820037842,10.517797470092773,0.08217029273509979,3.7109375
paretocl_res_log,4,2,1,stage3,512,256,8.02824878692627,16.8059139251709,0.06564810127019882,3.7109375
paretocl_res_log,4,2,1,stage4,512,512,2.314601421356201,4.167658805847168,0.00813995860517025,3.7109375
paretocl_res_log,4,2,2,stage1,512,64,4.033085823059082,6.484797477722168,0.10132496058940887,53.90625
paretocl_res_log,4,2,2,stage2,512,128,5.979124069213867,10.333327293395996,0.08072911947965622,53.90625
paretocl_res_log,4,2,2,stage3,512,256,7.707674026489258,16.535045623779297,0.06459002196788788,53.90625
paretocl_res_log,4,2,2,stage4,512,512,2.806222438812256,5.383992671966553,0.010515610687434673,53.90625
paretocl_res_log,4,3,0,acc,512,,,,,6.8359375
paretocl_res_log,4,3,1,acc,512,,,,,8.3984375
paretocl_res_log,4,3,2,acc,512,,,,,44.3359375
paretocl_res_log,4,3,3,acc,512,,,,,61.9140625
paretocl_res_log,4,3,-1,acc_oldavg,,,,,,19.856770833333332
paretocl_res_log,4,3,-2,acc_allavg,,,,,,30.37109375
paretocl_res_log,4,3,0,stage1,512,64,3.0847792625427246,5.3105010986328125,0.0829765796661377,6.8359375
paretocl_res_log,4,3,0,stage2,512,128,3.4899098873138428,7.309126853942871,0.05710255354642868,6.8359375
paretocl_res_log,4,3,0,stage3,512,256,6.7858734130859375,14.069077491760254,0.05495733395218849,6.8359375
paretocl_res_log,4,3,0,stage4,512,512,4.647253513336182,6.8210320472717285,0.013322328217327595,6.8359375
paretocl_res_log,4,3,1,stage1,512,64,4.5456156730651855,6.982332229614258,0.10909894108772278,8.3984375
paretocl_res_log,4,3,1,stage2,512,128,5.2526984214782715,9.752115249633789,0.07618840038776398,8.3984375
paretocl_res_log,4,3,1,stage3,512,256,6.361388683319092,14.083088874816895,0.055012065917253494,8.3984375
paretocl_res_log,4,3,1,stage4,512,512,3.7613987922668457,5.431327819824219,0.010608062148094177,8.3984375
paretocl_res_log,4,3,2,stage1,512,64,4.296673774719238,6.52885103225708,0.10201329737901688,44.3359375
paretocl_res_log,4,3,2,stage2,512,128,4.64736270904541,8.863992691040039,0.0692499428987503,44.3359375
paretocl_res_log,4,3,2,stage3,512,256,5.505012035369873,12.458444595336914,0.04866579920053482,44.3359375
paretocl_res_log,4,3,2,stage4,512,512,3.170314311981201,4.811980247497559,0.009398398920893669,44.3359375
paretocl_res_log,4,3,3,stage1,512,64,4.3920578956604,6.810662269592285,0.10641659796237946,61.9140625
paretocl_res_log,4,3,3,stage2,512,128,5.315794944763184,10.011174201965332,0.07821229845285416,61.9140625
paretocl_res_log,4,3,3,stage3,512,256,5.118750095367432,11.92111587524414,0.046566858887672424,61.9140625
paretocl_res_log,4,3,3,stage4,512,512,2.676786422729492,4.015081882476807,0.007841956801712513,61.9140625
paretocl_res_log,4,4,0,acc,512,,,,,0.390625
paretocl_res_log,4,4,1,acc,512,,,,,4.296875
paretocl_res_log,4,4,2,acc,512,,,,,21.2890625
paretocl_res_log,4,4,3,acc,512,,,,,10.15625
paretocl_res_log,4,4,4,acc,512,,,,,64.2578125
paretocl_res_log,4,4,-1,acc_oldavg,,,,,,9.033203125
paretocl_res_log,4,4,-2,acc_allavg,,,,,,20.078125
paretocl_res_log,4,4,0,stage1,512,64,4.35026741027832,7.037657260894775,0.10996339470148087,0.390625
paretocl_res_log,4,4,0,stage2,512,128,6.008674621582031,11.887226104736328,0.09286895394325256,0.390625
paretocl_res_log,4,4,0,stage3,512,256,4.119832992553711,11.327743530273438,0.044248998165130615,0.390625
paretocl_res_log,4,4,0,stage4,512,512,2.298882007598877,4.559991836547852,0.008906234055757523,0.390625
paretocl_res_log,4,4,1,stage1,512,64,5.119912147521973,7.628215312957764,0.11919086426496506,4.296875
paretocl_res_log,4,4,1,stage2,512,128,5.429996490478516,11.045541763305664,0.0862932950258255,4.296875
paretocl_res_log,4,4,1,stage3,512,256,4.420068740844727,11.44624137878418,0.0447118803858757,4.296875
paretocl_res_log,4,4,1,stage4,512,512,2.9709653854370117,5.144630432128906,0.01004810631275177,4.296875
paretocl_res_log,4,4,2,stage1,512,64,4.410948753356934,6.808374404907227,0.10638085007667542,21.2890625
paretocl_res_log,4,4,2,stage2,512,128,4.73390007019043,9.866740226745605,0.07708390802145004,21.2890625
paretocl_res_log,4,4,2,stage3,512,256,4.0563836097717285,10.200760841369629,0.03984672203660011,21.2890625
paretocl_res_log,4,4,2,stage4,512,512,2.6338319778442383,4.590052604675293,0.008964946493506432,21.2890625
paretocl_res_log,4,4,3,stage1,512,64,4.476924419403076,6.960817337036133,0.10876277089118958,10.15625
